,title,company,salary,summary
1296,Financial Controller-Part Time,Simmons College of Kentucky,"$60,000 a year","Acts as liaison with independent auditors, coordinates the annual independent financial audit, prepares or reviews the preparation of various schedules and the…"
1297,Customer Service Representative,"Chewy, Inc.",Up to $16.25 an hour,"Interact with customers via inbound calls, outbound calls, emails, and other communication platforms.Make and receive inbound calls to veterinary offices to…"
1298,Ice Cream Scooper,Liège & Dairy Ice Cream + Waffles,From $10 an hour,"\*Fulfilling Ice Cream, Waffle, and Shake orders efficiently with a smile!\*Treating each customer as our #1.Job Types: Full-time, Part-time."
1299,Database Developer,"PSST, LLC","$60,000 - $100,000 a year",Work closely with product managers and owners in providing technical guidance.Work closely with stakeholders and development team to architect and design…
1300,Director of Social Media,Red Tag Digital,"$55,000 - $85,000 a year","Lead content creation and curation for clients’ social media, including managing an editorial calendar, writing content and guiding the development of visuals…"
1301,Non-Emergency Medical Driver,zTrip KY,"$65,000 - $78,000 a year",No Felonies or DUI in last 10 years.
1302,Dock Worker (Part-time),Saia LTL Freight,$17.95 - $22.96 an hour,"Using safe lifting techniques, efficiently sorting, handling, loading and unloading freight into/from over-the-road equipment, containers, city trailers, and/or…"
1303,Marketing & Communications Director,The Community Foundation of Louisville,"$75,000 - $80,000 a year","Collaborate with internal and external teams to develop strategies and partnerships.Manage and direct creative development including design, copy, video, etc."
1304,Graphic Designer,Red Tag Digital,"$45,000 - $55,000 a year",Communicate frequently with clients to update them on the progress of the project and to answer any questions they might have.
1305,Cashier,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance."
1306,Library Page L/U,Louisville Metro Government,$10.30 an hour,"Answers phone calls, provides information, takes messages, and routes calls.Must provide proof of social security number.Keeps rooms orderly and neat."
1307,Warehouse Team Member,Amazon Workforce Staffing,From $15 an hour,"From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of jobs.Work a set, full-time schedule."
1308,,FedEx Ground PH US,Up to $19 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
