,title,company,salary,summary
658,Marketing Assistant,Gillespie Group - Lansing,$16.50 - $17.50 an hour,Licenses: A valid driver’s license and current automobile insurance is required.Experience • Previous experience in marketing and/or advertising or related…
659,General Office Assistant-E,State of Michigan,"$2,730 - $3,864 a month",This position provides clerical support to the Human Resources Office.Knowledge of filing and general record keeping.Must have basic computer skills.
660,Deputy Clerk II - Circuit Court,Ingham County,"$33,710 a year","May serve as jury clerk, includes answering inquiries of jurors regarding jury service and related procedures; responding to requests from prospective jurors to…"
661,TeleScribe,ScribeAmerica,,"Provide advanced support to providers, including documenting phone calls, alerting the physician when labs/radiology reports are complete, monitoring document…"
662,Sterile Process Tech - Cert and Non Cert,McLaren Greater Lansing,$13.64 - $21.72 an hour,Completion of approved sterile processing course and certification as a sterile processing technician by the Certification Board for Sterile Processing and…
663,Departmental Technician,State of Michigan,$19.47 - $26.74 an hour,"The position interprets state statutes related to vital record documents, handling and transmitting data, provides daily telephone assistance for customers…"
664,Retail Specialist,Skymint Brands,$15 an hour,"Support in organizing the sales floor, cash wrap, reception area, and all non-selling areas.Provide extraordinary customer service by recommending and helping…"
665,911 Dispatcher,Ingham County 911,$19.94 - $27.63 an hour,Answers non-emergency calls for assistance and processes criminal justice information.Under the supervision of the Director or his/her designee and in a 24…
666,Delivery Associate,Amazon DSP,$15.00 - $15.01 an hour,Must be comfortable driving and working in varying weather conditions.Associates need to have a good driving record and have reliable transportation to commute…
667,Amazon Picker Packer - Urgently Hiring!,Amazon Workforce Staffing,$15.30 an hour,"You’ll work up to 19 hours per week on the days you choose.Warehouse Team Member (Seasonal, Part-Time, Full-Time, Flexible Hours)."
668,Legislative and Political Program Coordinator,Michigan Nurses Association,,"Minimum Bachelor’s degree in political science, public policy or related field.Experience with monitoring legislation and regulations at local, state and…"
669,Legislative and Political Program Coordinator,Michigan Nurses Association,,"Minimum Bachelor’s degree in political science, public policy or related field.Experience with monitoring legislation and regulations at local, state and…"
670,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
671,,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
672,Marketing Assistant,Gillespie Group - Lansing,$16.50 - $17.50 an hour,Licenses: A valid driver’s license and current automobile insurance is required.Experience • Previous experience in marketing and/or advertising or related…
673,General Office Assistant-E,State of Michigan,"$2,730 - $3,864 a month",This position provides clerical support to the Human Resources Office.Knowledge of filing and general record keeping.Must have basic computer skills.
674,Amazon Picker Packer - Urgently Hiring!,Amazon Workforce Staffing,$15.30 an hour,"You’ll work up to 19 hours per week on the days you choose.Warehouse Team Member (Seasonal, Part-Time, Full-Time, Flexible Hours)."
675,Logistics Director,Tenpoint Logistics LLC,"Up to $120,000 a year","Generating leads and attracting new prospects, and developing a sales pipeline.Collaborating with shippers, carriers, and dispatchers to manage scheduled…"
676,Programmer Analyst,MICHIGAN EDUCATION ASSOCIATION,$26.47 - $41.01 an hour,"Meet with users as necessary to develop requirements and understand specifications for programs, provide training on new systems or system enhancements and…"
677,Deputy Clerk II - Circuit Court,Ingham County,"$33,710 a year","May serve as jury clerk, includes answering inquiries of jurors regarding jury service and related procedures; responding to requests from prospective jurors to…"
678,Mail Clerk,Delta Dental of Michigan,,"Must possess and maintain a valid (State of Michigan) driver's license.Operates equipment which may include a personal computer, telephone, copier, scanner,…"
679,TeleScribe,ScribeAmerica,,"Provide advanced support to providers, including documenting phone calls, alerting the physician when labs/radiology reports are complete, monitoring document…"
680,Sterile Process Tech - Cert and Non Cert,McLaren Greater Lansing,$13.64 - $21.72 an hour,Completion of approved sterile processing course and certification as a sterile processing technician by the Certification Board for Sterile Processing and…
681,Departmental Technician,State of Michigan,$19.47 - $26.74 an hour,"The position interprets state statutes related to vital record documents, handling and transmitting data, provides daily telephone assistance for customers…"
682,Support Specialist,BS&A Software,"$50,000 - $57,000 a year","However, we are interested in candidates from any degree program that can demonstrate technical acumen, an ability to learn/understand governmental accounting,…"
683,Retail Specialist,Skymint Brands,$15 an hour,"Support in organizing the sales floor, cash wrap, reception area, and all non-selling areas.Provide extraordinary customer service by recommending and helping…"
